time_us,rx_bytes,tx_bytes
961165.4,561036276,615599190
961744.0,561036276,615599190
962320.9,561036276,615599190
962898.3,561036276,615599190
963475.4,561036276,615599190
964054.7,561036276,615599190
964633.4,561036276,615599190
965210.7,561036276,615599190
965789.8,561036276,615599190
966367.5,561036276,615599190
966945.4,561036276,615599190
967522.7,561036276,615599190
968101.7,561036276,615599190
968681.1,561036276,615599190
969259.2,561036276,615599190
969835.9,561036276,615599190
970414.3,561036276,615599190
970991.4,561036276,615599190
971571.1,561036276,615599190
972148.4,561036276,615599190
972725.7,561036276,615599190
973304.8,561036276,615599190
973883.8,561036276,615599190
974463.3,561036276,615599190
975040.9,561036276,615599190
975618.1,561036276,615599190
976194.3,561036276,615599190
976771.3,561036276,615599190
977350.6,561036276,615599190
977928.4,561036276,615599190
978506.0,561036276,615599190
979085.3,561036276,615599190
979664.0,561036276,615599190
980242.0,561036276,615599190
980820.6,561036276,615599190
981397.2,561036276,615599190
981974.2,561036276,615599190
982553.5,561036276,615599190
983131.7,561036276,615599190
983711.5,561036276,615599190
984289.9,561036276,615599190
984869.0,561036276,615599190
985447.1,561036276,615599190
986024.0,561036276,615599190
986601.0,561036276,615599190
987177.7,561036276,615599190
987757.3,561036276,615599190
988334.0,561036276,615599190
988911.7,561036276,615599190
989489.1,561036276,615599190
990066.1,561036276,615599190
990644.7,561036276,615599190
991221.9,561036276,615599190
991798.9,561036276,615599190
992375.6,561036276,615599190
992953.3,561036276,615599190
993532.4,561036276,615599190
994110.1,561036276,615599190
994687.6,561036276,615599190
995264.8,561036276,615599190
995842.0,561036276,615599190
996419.2,561036276,615599190
996998.2,561036276,615599190
997574.8,561036276,615599190
998151.8,561036276,615599190
998728.2,561036276,615599190
999306.0,561036276,615599190
999884.8,561036276,615599190
1000463.1,561036276,615599190
1001040.4,561036276,615599190
1001617.4,561036276,615599190
1002194.7,561036276,615599190
1002773.3,561036276,615599190
1003350.8,561036276,615599190
1003928.7,561036276,615599190
1004506.4,561036276,615599190
1005083.1,561036276,615599190
1005662.0,561036276,615599190
1006240.3,561036276,615599190
1006817.8,561036276,615599190
1007394.4,561036276,615599190
1007971.7,561036276,615599190
1008550.4,561036276,615599190
1009127.0,561036276,615599190
1009703.4,561036276,615599190
1010280.3,561036276,615599190
1010859.1,561036276,615599190
1011435.8,561036276,615599190
1012014.2,561036276,615599190
1012590.8,561036276,615599190
1013169.1,561036276,615599190
1013747.3,561036276,615599190
1014326.0,561036276,615599190
1014903.1,561036276,615599190
1015481.1,561036276,615599190
1016058.2,561036276,615599190
1016636.1,561036276,615599190
1017213.6,561036276,615599190
1017793.1,561036276,615599190
1018372.3,561036276,615599190
1018950.0,561036276,615599190
1019527.9,561036276,615599190
1020104.3,561036276,615599190
1020685.6,561036276,615599190
1021264.0,561036276,615599190
1021843.2,561036276,615599190
1022420.0,561036276,615599190
1022998.4,561036276,615599190
1023575.5,561036276,615599190
1024153.5,561036276,615599190
1024732.5,561036276,615599190
1025310.3,561036276,615599190
1025888.1,561036276,615599190
1026465.5,561036276,615599190
1027042.4,561036276,615599190
1027621.1,561036276,615599190
1028199.8,561036276,615599190
1028777.2,561036276,615599190
1029354.9,561036276,615599190
1029932.0,561036276,615599190
1030510.7,561036276,615599190
1031089.9,561036276,615599190
1031666.3,561036276,615599190
1032245.1,561036276,615599190
1032823.3,561036276,615599190
1033401.2,561036276,615599190
1033981.1,561036276,615599190
1034558.7,561036276,615599190
1035136.6,561036276,615599190
1035715.8,561036276,615599190
1036294.1,561036276,615599190
1036872.6,561036276,615599190
1037449.8,561036276,615599190
1038026.7,561036276,615599190
1038605.3,561036276,615599190
1039183.3,561036276,615599190
1039760.9,561036276,615599190
1040338.3,561036276,615599190
1040916.9,561036276,615599190
1041494.3,561036276,615599190
1042073.1,561036276,615599190
1042651.6,561036276,615599190
1043230.2,561036276,615599190
1043807.1,561036276,615599190
1044384.2,561036276,615599190
1044961.8,561036276,615599190
1045539.7,561036276,615599190
1046118.7,561036276,615599190
1046696.6,561036276,615599190
1047275.5,561036276,615599190
1047853.1,561036276,615599190
1048430.6,561036276,615599190
1049010.8,561036276,615599190
1049587.4,561036276,615599190
1050164.4,561036276,615599190
1050741.0,561036276,615599190
1051318.9,561036276,615599190
1051897.3,561036276,615599190
1052474.6,561036276,615599190
1053054.0,561036276,615599190
1053632.0,561036276,615599190
1054210.6,561036276,615599190
1054788.4,561036276,615599190
1055366.2,561036276,615599190
1055945.2,561036276,615599190
1056522.8,561036276,615599190
1057100.2,561036276,615599190
1057677.1,561036276,615599190
1058255.9,561036276,615599190
1058833.6,561036276,615599190
1059413.6,561036276,615599190
1059991.4,561036276,615599190
1060568.7,561036276,615599190
1061145.6,561036276,615599190
1061722.8,561036276,615599190
1062301.4,561036276,615599190
1062880.0,561036276,615599190
1063460.4,561036276,615599190
1064039.3,561036276,615599190
1064617.4,561036276,615599190
1065195.7,561036276,615599190
1065773.4,561036276,615599190
1066351.1,561036276,615599190
1066928.5,561036276,615599190
1067505.9,561036276,615599190
1068083.6,561036276,615599190
1068662.3,561036276,615599190
1069242.4,561036276,615599190
1069820.5,561036276,615599190
1070399.0,561036276,615599190
1070976.3,561036276,615599190
1071553.9,561036276,615599190
1072132.9,561036276,615599190
1072710.8,561036276,615599190
1073287.5,561036276,615599190
1073864.7,561036276,615599190
1074442.4,561036276,615599190
1075021.9,561036276,615599190
1075599.0,561036276,615599190
1076177.4,561036276,615599190
1076753.2,561036276,615599190
1077328.9,561036276,615599190
1077905.5,561036276,615599190
1078483.9,561036276,615599190
1079063.0,561036276,615599190
1079641.5,561036276,615599190
1080218.4,561036276,615599190
1080795.4,561036276,615599190
1081372.4,561036276,615599190
1081949.0,561036276,615599190
1082526.5,561036276,615599190
1083105.3,561036276,615599190
1083683.0,561036276,615599190
1084262.0,561036276,615599190
1084839.7,561036276,615599190
1085419.1,561036276,615599190
1085996.2,561036276,615599190
1086573.6,561036276,615599190
1087150.5,561036276,615599190
1087726.4,561036276,615599190
1088304.4,561036276,615599190
1088882.6,561036276,615599190
1089461.8,561036276,615599190
1090038.6,561036276,615599190
1090614.9,561036276,615599190
1091192.2,561036276,615599190
1091768.7,561036276,615599190
1092347.2,561036276,615599190
1092923.6,561036276,615599190
1093501.2,561036276,615599190
1094078.6,561036276,615599190
1094655.8,561036276,615599190
1095233.7,561036276,615599190
1095810.5,561036276,615599190
1096387.3,561036276,615599190
1096963.8,561036276,615599190
1097541.5,561036276,615599190
1098119.6,561036276,615599190
1098696.6,561036276,615599190
1099273.7,561036276,615599190
1099850.5,561036276,615599190
1100427.4,561036276,615599190
1101004.1,561036276,615599190
1101580.4,561036276,615599190
1102157.0,561036276,615599190
1102733.8,561036276,615599190
1103311.8,561036276,615599190
1103889.1,561036276,615599190
1104468.8,561036276,615599190
1105045.8,561036276,615599190
1105623.8,561036276,615599190
1106200.8,561036276,615599190
1106777.6,561036276,615599190
1107356.5,561036276,615599190
1107935.3,561036276,615599190
1108514.6,561036276,615599190
1109091.8,561036276,615599190
